"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"159","4.024016","2.94034957885742","4.40458549633149E-08"
"160","4.049055","2.99062728881836","4.54491484447317E-08"
"161","4.074094","3.04081678390503","4.76448889230596E-08"
"162","4.099133","3.09109449386597","4.89830966898808E-08"
"163","4.124172","3.14139366149902","4.65423575235491E-08"
"164","4.149211","3.19157600402832","4.99885430826907E-08"
"165","4.17425","3.24183940887451","4.88805405041148E-08"
"166","4.199289","3.29208374023438","4.87257239001337E-08"
"167","4.224328","3.34227800369263","5.1879478490946E-08"
"168","4.249367","3.39260101318359","5.22549505888037E-08"
"169","4.274406","3.44282865524292","5.23877154989805E-08"
"170","4.299445","3.49313497543335","5.3636824759451E-08"
"171","4.324484","3.54334592819214","5.48731797778146E-08"
"172","4.349523","3.59362363815308","5.48295275848432E-08"
"173","4.374562","3.64387035369873","5.51362049350246E-08"
"174","4.399601","3.69415283203125","5.62202231435549E-08"
"175","4.42464","3.74440431594849","5.68249340915372E-08"
"176","4.449679","3.79463911056519","5.72831773126836E-08"
"177","4.474718","3.84485483169556","5.67719453670179E-08"
"178","4.499757","3.895103931427","5.88662523171024E-08"
"179","4.524796","3.94534826278687","5.73361056410704E-08"
"180","4.549835","3.99555444717407","5.97194329543527E-08"
"181","4.574874","4.04581069946289","5.90123434562884E-08"
"182","4.599913","4.09608125686646","6.06751697773689E-08"
"183","4.624952","4.14634227752686","6.12367543340042E-08"
"184","4.649991","4.19692993164063","6.0620273245604E-08"
"185","4.67503","4.24712419509888","6.14896080719518E-08"
"186","4.700069","4.29744243621826","6.3148355877729E-08"
"187","4.725108","4.34762477874756","6.27846574730029E-08"
"188","4.750147","4.39788579940796","6.34369641261401E-08"
"189","4.775186","4.44810628890991","6.36752162108678E-08"
"190","4.800225","4.49834823608398","6.40841477661525E-08"
"191","4.825265","4.54863786697388","6.57649863455845E-08"
"192","4.850304","4.59884405136108","6.63820358681733E-08"
"193","4.875343","4.64908123016357","6.64153461116257E-08"
"194","4.900382","4.69933032989502","6.64055619381543E-08"
"195","4.925421","4.74961757659912","6.82201886093026E-08"
"196","4.95046","4.79986190795898","6.78722642533103E-08"
"197","4.975499","4.85006809234619","6.9590214479831E-08"
"198","5.000538","4.90036010742188","6.85318255477796E-08"
"199","5.025577","4.95064258575439","6.92207819952273E-08"
"200","5.050616","5.00083446502686","7.05615619267519E-08"
"201","5.075655","4.95061635971069","6.87821639644426E-08"
"202","5.100694","4.90033864974976","6.90029295924433E-08"
"203","5.125733","4.85013008117676","6.83719534322336E-08"
"204","5.150772","4.79979038238525","6.70823681048205E-08"
"205","5.175811","4.74959373474121","6.70085782417118E-08"
